País,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto,Destacado,Ingresados Si/No
México,1012101001,F,Ing. Industrial,,,Si,Si,Si,Highly Recommend,Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Apto,Destacado,B2 - High Intermediate,Apto,Si,Si
México,1012101006,F,Ing. Industrial,6,9,Si,Si,Si,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Apto,Destacado,B2 - High Intermediate,Apto,Si,
México,1012101017,F,Ing. Industrial,8,9,Si,,,,,,,,,,,,,
México,1012101016,F,Ing. Mecatrónica/Electrónica,6,9,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,Apto,Destacado,B2 - High Intermediate,Apto,Si,Si
México,1012101013,F,Negocios Internacionales,,,Si,Si,,,,,,,,,,,,
México,1012101014,M,Ing. Química,6,9,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,1012101011,F,Ing. Mecánica,9,10,Si,Si,Si,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,Recommend,,,,,,
México,1012101008,M,Ing. Mecánica,8,9,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,1012101015,F,Ing. Industrial,6,9,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Apto,,B2 - High Intermediate,Apto,,Si
México,1012101007,M,Ing. Materiales,8,10,Si,Si,,,,,,,,,,,,
México,1012101019,F,Maestría en Materiales,,,Si,,,,,,,,,,,,,
México,1012101009,F,Negocios Internacionales,9,10,Si,Si,,,,,,,,,,,,
México,1012101021,M,Maestría en Diseño Automotriz,,,Si,,,,,,,,,,,,,
México,1012101022,F,Maestría en Diseño Automotriz,,,Si,,,,,,,,,,,,,
México,1012101023,F,Maestría en Diseño Automotriz,,,Si,,,,,,,,,,,,,
México,1012101010,F,Ing. Química,6,10,Si,Si,Si,Recommend,Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,Apto,,B2 - High Intermediate,,,Si
México,1012101018,F,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,,,,,,,,,,,
México,1012101020,F,Maestría en Metalurgia,,,Si,,,,,,,,,,,,,
México,10221001,M,Ing. Industrial,10,9,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,10221002,M,Ing. Industrial,10,9,,,,,,,,,,,,,,
México,10221003,M,Ing. Industrial,8,9,,,,,,,,,,,,,,
México,10221004,M,Ing. Industrial,8,9,,,,,,,,,,,,,,
