,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
0,0.0,F,Ing. Industrial,,,Si,Si,Si,5,3,5,1,1,1,1,4,2,1
1,1.0,F,Ing. Industrial,6.0,9.0,Si,Si,Si,5,1,1,1,1,1,1,4,2,0
2,2.0,F,Ing. Mecatrónica/Electrónica,6.0,9.0,Si,Si,Si,5,5,1,3,5,1,1,4,2,1
3,3.0,F,Negocios Internacionales,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
4,4.0,M,Ing. Química,6.0,9.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
5,5.0,F,Ing. Mecánica,9.0,10.0,Si,Si,Si,5,1,3,5,3,0,0,0, ,0
6,6.0,M,Ing. Mecánica,8.0,9.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
7,7.0,F,Ing. Industrial,6.0,9.0,Si,Si,,1,3,1,1,1,1,0,4,1,1
8,8.0,M,Ing. Materiales,8.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
9,9.0,F,Negocios Internacionales,9.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
10,10.0,F,Ing. Química,6.0,10.0,Si,Si,Si,3,3,1,5,1,1,0,4, ,1
11,11.0,F,Ing. Mecatrónica/Electrónica,8.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
12,12.0,M,Ing. Industrial,10.0,9.0,Si,Si,Si,5,5,1,1,1,0,0,0, ,0
13,13.0,M,Ing. Gestión Empresarial,8.0,9.0,Si,Si,Si,5,1,5,5,5,1,0,3,1,0
14,14.0,M,Ing. Gestión Empresarial,8.0,9.0,Si,Si,Si,3,5,1,3,5,1,1,3,2,1
15,15.0,M,Ing. Mecatrónica/Electrónica,8.0,9.0,Si,Si,,1,3,1,1,5,0,0,0, ,0
16,16.0,M,Ing. Mecatrónica/Electrónica,8.0,9.0,Si,Si,Si,5,3,3,1,1,0,0,0, ,0
17,17.0,M,Ing. Tecnologías Computacionales,8.0,9.0,Si,Si,,3,1,1,1,1,0,0,0, ,0
18,18.0,M,Ing. Mecánica,8.0,9.0,Si,Si,,3,3,1,1,5,0,0,0, ,0
19,19.0,M,Ing. Mecatrónica/Electrónica,8.0,9.0,Si,Si,Si,1,3,5,3,3,0,0,0, ,0
20,20.0,F,Administración,6.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
21,21.0,F,Ing. Industrial,10.0,10.0,Si,Si,,3,3,1,1,1,0,0,0, ,0
22,22.0,F,Administración,9.0,10.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
23,23.0,M,Ing. Mecánica,10.0,10.0,Si,Si,Si,1,3,1,5,1,0,0,0, ,0
24,24.0,M,Ing. Mecánica,10.0,10.0,Si,Si,Si,1,5,1,3,3,0,0,3, ,0
25,25.0,F,Ing. Industrial,8.0,10.0,Si,Si,Si,1,5,5,3,3,0,0,0, ,0
26,26.0,M,Ing. Industrial,10.0,10.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
27,27.0,M,Ing. Mecánica,10.0,10.0,Si,Si,Si,5,5,1,1,5,0,0,0, ,0
28,28.0,M,Ing. Materiales,9.0,10.0,Si,Si,Si,1,5,1,1,1,0,0,0, ,0
29,29.0,M,Ing. Materiales,9.0,10.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
